x,funcSystem
-15.707963,NaN
-15.446164,-12280560.7014480440
-15.184364,-6310.3112027267
-14.922565,-190.0182144907
-14.660766,-109.5266015230
-14.398966,-3414.4861268555
-14.137167,NaN
-13.875368,-3239.0796749197
-13.613568,-18.4734474980
-13.351769,174.0200931801
-13.089969,6305.5663763657
-12.828170,12280448.0269141590
-12.566371,NaN
-12.304571,12280406.4389265590
-12.042772,6302.1024477259
-11.780972,172.0205114227
-11.519173,-19.6281344748
-11.257374,-3239.6008408758
-10.995574,NaN
-10.733775,-3413.9351040637
-10.471976,-108.3718730775
-10.210176,-188.0187156897
-9.948377,-6306.8472741589
-9.686577,-12280519.1131275720
-9.424778,NaN
-9.162979,-12280560.7014520280
-8.901179,-6310.3112027276
-8.639380,-190.0182144907
-8.377580,-109.5266015230
-8.115781,-3414.4861268549
-7.853982,NaN
-7.592182,-3239.0796749202
-7.330383,-18.4734474980
-7.068583,174.0200931801
-6.806784,6305.5663763648
-6.544985,12280448.0269103050
-6.283185,NaN
-6.021386,12280406.4389304070
-5.759587,6302.1024477267
-5.497787,172.0205114227
-5.235988,-19.6281344747
-4.974188,-3239.6008408753
-4.712389,NaN
-4.450590,-3413.9351040642
-4.188790,-108.3718730775
-3.926991,-188.0187156896
-3.665191,-6306.8472741582
-3.403392,-12280519.1131245330
-3.141593,NaN
-2.879793,-12280560.7014546320
-2.617994,-6310.3112027282
-2.356194,-190.0182144908
-2.094395,-109.5266015230
-1.832596,-3414.4861268546
-1.570796,NaN
-1.308997,-3239.0796749204
-1.047198,-18.4734474980
-0.785398,174.0200931801
-0.523599,6305.5663763646
-0.261799,12280448.0269092580
-0.000000,NaN
0.000000,NaN
1.000000,0.0000000000
2.000000,1.3508050843
3.000000,3.2924513473
4.000000,5.5843296750
5.000000,8.0353789963
6.000000,10.5486157587
7.000000,13.0736136588
8.000000,15.5832951454
9.000000,18.0627297865
10.000000,20.5038085631
